gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
977091251,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS224877280,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,"Justiss Field, Catahoula CBC, LA",Louisiana,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,31.596666,-92.03111,,,,,,,12/19/1998 0:00,19,12,1998,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS224877280,,,,CC_BY_4_0,,obsr24114,,,9/8/2022 9:19,,
976245929,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223263671,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Otis Road Power Lines,Florida,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.352135,-81.91296,,,,,,,12/20/1998 0:00,20,12,1998,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS223263671,,,,CC_BY_4_0,,obsr334446,,,9/8/2022 9:45,,
973730406,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS220174414,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Apalachicola NF,Florida,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.180155,-84.6476,,,,,,,12/16/1996 0:00,16,12,1996,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS220174414,,,,CC_BY_4_0,,obsr202532,,,9/8/2022 8:57,,
968763624,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS214375181,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Paynes Prairie Preserve SP (Please consider using more specific locations),Florida,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,29.5799,-82.2964,,,,,,,1/1/2000 0:00,1,1,2000,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS214375181,,,,CC_BY_4_0,,obsr28523,,,9/8/2022 8:57,,
968686207,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS214398455,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Paynes Prairie Preserve SP (Please consider using more specific locations),Florida,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,29.5799,-82.2964,,,,,,,12/4/1999 0:00,4,12,1999,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS214398455,,,,CC_BY_4_0,,obsr28523,,,9/8/2022 8:58,,
961893619,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS207175179,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Jackson Park  / Paul G Boorman Trail,Texas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,32.500965,-94.75526,,,,,,,1/25/1997 0:00,25,1,1997,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS207175179,,,,CC_BY_4_0,,obsr347039,,,9/8/2022 9:45,,
960078716,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS205264378,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Lake Jackson Wilderness Trail,Texas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,29.04846,-95.47776,,,,,,,12/17/1978 0:00,17,12,1978,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS205264378,,,,CC_BY_4_0,,obsr416834,,,9/8/2022 9:19,,
957063677,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS201694145,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Attwater Prairie Chicken NWR (CTC 004),Texas,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,29.671349,-96.273705,,,,,,,1/16/1982 0:00,16,1,1982,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS201694145,,,,CC_BY_4_0,,obsr159835,,,9/8/2022 9:08,,
956222266,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS200567901,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Crossett,Arkansas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,33.12822,-91.96123,,,,,,,12/31/1988 0:00,31,12,1988,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS200567901,,,,CC_BY_4_0,,obsr112572,,,9/8/2022 9:08,,
956222058,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS200567937,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Crossett,Arkansas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,33.12822,-91.96123,,,,,,,12/31/1988 0:00,31,12,1988,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS200567937,,,,CC_BY_4_0,,obsr158442,,,9/8/2022 9:43,,
949958241,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS193952188,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Abita Springs--Abita Trace,Louisiana,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.47907,-90.03962,,,,,,,1/28/1984 0:00,28,1,1984,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS193952188,,,,CC_BY_4_0,,obsr279344,,,9/8/2022 9:08,,
946909628,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS190454906,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Abita Sod Farm,Louisiana,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.436611,-89.97073,,,,,,,2/6/1983 0:00,6,2,1983,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS190454906,,,,CC_BY_4_0,,obsr182152,,,9/8/2022 8:56,,
943688087,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS186790774,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Rick Evans Grandview Prairie WMA,Arkansas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,33.807823,-93.776726,,,,,,,11/12/1999 0:00,12,11,1999,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS186790774,,,,CC_BY_4_0,,obsr112572,,,9/8/2022 9:18,,
